Image,Accuracy,Precision,Recall,F1 Score,Jaccard Score,Kappa Score,ROC AUC Score
LC80980762014216LGN00,0.9999876379006895,0.0,0.0,0.0,0.0,0.0,-999
LC81001082014022LGN00,0.9921349215241836,0.9357347223241141,0.5462705202144301,0.6898279154142799,0.5265170304955821,0.6861232367689606,0.7728300391997742
LC81010142014189LGN00,0.9129782153469221,0.8245181560064174,0.977217747019701,0.8943972015389754,0.8089679248134657,0.8212955397976608,0.9256524958847921
LC81020152014036LGN00,0.9636016252865865,1.0,0.9410391954702205,0.9696241041049682,0.9410391954702205,0.924328946735536,0.9705195977351102
LC81020802014100LGN00,0.8842606985405139,0.8425418493715361,0.967841582674271,0.9008556116132441,0.8195971531415034,0.7634380544734455,0.8763378666162118
LC81030162014107LGN00,0.9971737636127137,0.0,0.0,0.0,0.0,0.0,-999
LC81040622014066LGN00,0.9624337618563789,0.9703275533813385,0.9742623247345122,0.9722909581605197,0.9460760960322304,0.9139826318756848,0.9559802672963714
LC81070152013260LGN00,0.9413832734993324,1.0,0.902679539566623,0.948850839876302,0.902679539566623,0.8806323884123716,0.9513397697833115
LC81080162013171LGN00,0.9797424030238767,0.9875110479815198,0.9770165317554752,0.9822357589892279,0.965091638524989,0.9586721644335684,0.9802101010817093
LC81080182014238LGN00,0.9365379933681721,0.8630917684746715,0.9660538814031676,0.9116749702220444,0.8376863026002884,0.8623975581978223,0.9437261602520853
LC81130632014241LGN00,0.9392919600839874,0.48913574236606994,0.9767292342044182,0.6518379069004896,0.48350113850321425,0.6225732783964752,0.9568541970848443
LC81170272014189LGN00,0.981064906539011,0.9956285707019951,0.9754847965733799,0.9854537540845524,0.971324627193663,0.9583452227682344,0.9836311772221761
LC81180382014244LGN00,0.9401540094350372,0.9223685087795652,0.9703223330791582,0.9457379341665743,0.8970615227618383,0.8791223391005405,0.9377092335250855
LC81220312014208LGN00,0.989167010927785,0.29517029910632864,0.8938237598677284,0.4437872915465211,0.285171358089952,0.43971431318840026,0.9417269996365754
LC81220422014096LGN00,0.9835784981635793,1.0,0.9758555923228281,0.9877802771766394,0.9758555923228281,0.9627645248881866,0.9879277961614141
LC81240462014238LGN00,0.9318890297477621,0.9186779477747875,0.978321756740523,0.947562217966128,0.9003498678420037,0.8506881723372206,0.9157395266883405
LC81310182013108LGN01,0.9733474900147373,0.5776064052823615,0.8855229255966087,0.6991640493485358,0.5374728834934116,0.6858649845801467,0.9310267021765886
LC81320352013243LGN00,0.8399005787085139,0.5931519404684519,0.9579101436787383,0.7326415445579784,0.5780854985517511,0.6271924355655225,0.8813800961133481
LC81321192014054LGN00,0.7697031951258814,0.4408693765958798,0.9572420818692907,0.6036982492774121,0.4323551474206757,0.4709467520210573,0.8424348962052998
LC81330182013186LGN00,0.9767420322053717,0.9969722901742121,0.9640879270379407,0.9802543951605159,0.9612734690970457,0.9519834790273104,0.9798588811311343
LC81330312013202LGN00,0.8873710837655424,0.5930572288449887,0.9762798171276718,0.7378782071179323,0.5846331243777829,0.6715143471810032,0.9232077082572773
LC81360302014162LGN00,0.8598789061401356,0.7974313713367847,0.9712418793010322,0.8757962992106532,0.7790370184653571,0.7185948692337181,0.8579195869724682
LC81390292014135LGN00,0.8754736210690836,0.6745425168120014,0.9653910378577274,0.79417522561205,0.6586157810658317,0.708879690312332,0.9055374507329157
LC81440462014250LGN00,0.9833457513458043,1.0,0.9758406082015206,0.9877726008372355,0.9758406082015206,0.9616792180341115,0.9879203041007603
